FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
1.68965517241379,2,7.84615384615385,8.22680412371134,8.87234042553191,7.89156626506024,1.39460104603783,1.38761892302144,7,6.20512820512821,0,0,0,0,0,0,0,0.212520480440611,0.395403126285479,0.166108966108966,0.2
0.484848484848485,2,8.12631578947368,8.84403669724771,9,8.33333333333333,0.983783565070985,1.65045518688173,5.4,10.0384615384615,0,0,0,0,0,0,0,-0.573431257344301,0.582999700104963,-0.757460135717335,-0.888888888888889
1.69047619047619,0,8.50485436893204,9.31531531531532,8.53409090909091,8.52173913043478,1.66782212885154,1.44576286241538,9.86666666666667,8.25,0,0,0,0,0,0,0,0.666666666666667,0.69025641025641,0.168965857950384,0.0333333333333333
2.35897435897436,0,9.5377358490566,10.9909090909091,8.42352941176471,9.14141414141414,1.91844919786096,1.50089605734767,8.66666666666667,9,0,0,0,0,0,0,0,1.25,0.666666666666667,0.155762701852281,0.013577349889266
0.416666666666667,0,9.1743119266055,12.7549019607843,8.60919540229885,10.2882882882883,1.51835951772013,2.375,8.41935483870968,12.125,0,0,0,0,0,0,0,-0.0953751065643649,1.20431455240666,-0.423793203851113,-0.148007812022487
0.622222222222222,0,8.85436893203883,11.8387096774194,9.77,10.0380952380952,1.4623536838978,0.85393551446183,7.2,7.41666666666667,0,0,0,0,0,0,0,0.0518849206349206,-0.248747311905207,0.568219125072361,0.057025735248134
0.608695652173913,1,9.18691588785047,9.85950413223141,10.6413043478261,10.141592920354,0.943012291613485,1.42021713273487,5.97560975609756,7.06666666666667,0,0,0,0,0,0,0,-0.742292712043999,0.080821095796227,-0.646888110151587,-0.0545767174650828
1.02020202020202,2,9.02884615384615,10.7637795275591,12.25,10.2037037037037,1.51289521467668,1.25236572570482,7.3125,9.02631578947368,0,0,0,0,0,0,0,0.208333333333333,-0.0427069592544426,0.330721755052384,-0.0305267619430247
0.97979797979798,1,8.92660550458716,15.8571428571429,14.0147058823529,10.8235294117647,0.925770296177192,1.38817072204169,7.04651162790698,5.73333333333333,0,0,0,0,0,0,0,-1.06666666666667,0.0919569321846362,-0.5889734859691,0.19198174055989
0.551020408163265,3,11.22,19.2666666666667,13.7922077922078,11.1333333333333,1.33707499143699,2.0635976702509,6.02105263157895,11.2,0,0,0,0,0,0,0,-0.162519936204147,1.0349825195896,-0.451519687375571,-0.296143998646148
2.35483870967742,1,13.697247706422,17.3648648648649,11.5210084033613,15.4536082474227,1.19591998298778,1.39375584158193,6.48979591836735,6.16666666666667,0,0,0,0,0,0,0,0.0354366785409193,-0.124249415720988,-0.0447895130255541,0.0285062073089476
0.416666666666667,4,16.123595505618,14.1491228070175,15.7179487179487,17.97,1.20875276634621,1.07655883156491,4.67741935483871,5.73469387755102,0,0,0,0,0,0,0,-0.233837051945474,-0.254972159225169,0.261338556858476,-0.0436457115301677
