index,value
2415,5
2416,9
2417,8
2418,2
2419,8
2420,7
2421,4
2422,6
2423,11
2424,10
2425,8
2426,4
2427,5
2428,11
2429,8
2430,10
2431,7
2432,7
2433,7
2434,4
2435,6
2436,8
2437,7
2438,8
2439,5
2440,8
2441,8
2442,4
2443,2
2444,4
2445,8
2446,6
2447,7
2448,2
2449,4
2450,5
2451,3
2452,6
2453,11
2454,12
2455,6
2456,6
2457,3
2458,5
2459,8
2460,7
2461,14
2462,7
2463,6
2464,6
2465,10
2466,7
2467,11
2468,11
2469,5
2470,5
2471,12
2472,9
2473,9
2474,8
2475,7
2476,7
2477,9
2478,10
2479,12
2480,9
2481,10
2482,10
2483,15
2484,10
2485,7
2486,7
2487,10
2488,9
2489,8
2490,10
2491,9
2492,11
2493,4
2494,7
2495,9
2496,5
2497,9
2498,7
2499,8
2500,8
2501,8
2502,6
2503,9
2504,7
2505,8
2506,3
2507,10
2508,6
2509,12
2510,4
2511,9
2512,8
2513,2
2514,4
2515,9
2516,11
2517,10
2518,10
2519,3
2520,8
2521,11
2522,9
2523,8
2524,8
2525,6
2526,10
2527,8
2528,5
2529,3
2530,8
2531,2
2532,10
2533,4
2534,6
2535,9
2536,12
2537,4
2538,4
2539,9
2540,5
2541,7
2542,3
2543,12
2544,11
2545,3
2546,4
2547,10
2548,8
2549,12
2550,7
2551,6
2552,6
2553,11
2554,6
2555,5
2556,8
2557,6
2558,6
2559,11
2560,9
2561,4
2562,10
2563,8
2564,6
2565,7
2566,7
2567,4
2568,4
2569,3
2570,2
2571,7
2572,6
2573,4
2574,8
2575,6
2576,2
2577,7
2578,8
2579,9
2580,9
2581,7
2582,7
2583,5
2584,10
2585,5
2586,5
2587,8
2588,2
2589,8
2590,12
2591,6
2592,4
2593,18
2594,10
2595,6
2596,4
2597,9
2598,7
2599,11
2600,7
2601,5
2602,10
2603,6
2604,6
2605,10
2606,6
2607,7
2608,5
2609,11
2610,8
2611,7
2612,10
2613,9
2614,9
2615,7
2616,13
2617,4
2618,8
2619,6
2620,3
2621,4
2622,4
2623,6
2624,6
2625,6
2626,9
2627,4
2628,5
2629,10
2630,5
2631,5
2632,5
2633,7
2634,5
2635,9
2636,5
2637,7
2638,5
2639,12
2640,7
2641,8
2642,6
2643,10
2644,4
2645,10
2646,6
2647,6
2648,12
2649,5
2650,9
2651,6
2652,10
2653,6
2654,9
2655,10
2656,8
2657,6
2658,10
2659,6
2660,15
2661,8
2662,11
2663,9
2664,8
2665,6
2666,8
2667,8
2668,6
2669,9
2670,6
2671,11
2672,8
2673,5
2674,12
2675,7
2676,8
2677,12
2678,6
2679,7
2680,8
2681,13
2682,4
2683,7
2684,12
2685,8
2686,10
2687,3
2688,5
2689,7
2690,8
2691,7
2692,8
2693,8
2694,8
2695,5
2696,7
2697,6
2698,8
2699,7
2700,6
2701,3
2702,2
2703,11
2704,15
2705,3
2706,5
2707,5
2708,7
2709,6
2710,9
2711,9
2712,7
2713,9
2714,10
2715,9
2716,15
2717,8
2718,9
2719,11
2720,7
2721,9
2722,11
2723,10
2724,10
2725,10
2726,7
2727,5
2728,8
2729,6
2730,6
2731,6
2732,4
2733,12
2734,11
2735,8
2736,12
2737,10
2738,15
2739,13
2740,8
2741,8
2742,7
2743,9
2744,7
2745,12
2746,9
2747,8
2748,10
2749,5
2750,8
2751,9
2752,7
2753,6
2754,7
2755,7
2756,11
2757,7
2758,8
2759,10
2760,12
2761,5
2762,9
2763,13
2764,7
2765,6
2766,7
2767,9
2768,8
2769,11
2770,8
2771,10
2772,5
2773,7
2774,6
2775,12
2776,5
2777,7
2778,13
2779,12
2780,15
2781,4
2782,11
2783,9
2784,7
2785,10
2786,6
2787,6
2788,9
2789,7
2790,5
2791,6
2792,7
2793,5
2794,7
2795,5
2796,6
2797,8
2798,5
2799,8
2800,9
2801,10
2802,9
2803,7
2804,8
2805,9
2806,6
2807,11
2808,5
2809,4
2810,4
2811,7
2812,3
2813,6
2814,5
2815,5
2816,7
2817,4
2818,3
2819,8
2820,14
2821,8
2822,10
2823,8
2824,5
2825,13
2826,13
2827,5
2828,8
2829,12
2830,9
2831,6
2832,6
2833,11
2834,12
2835,11
2836,5
2837,7
2838,2
2839,11
2840,9
2841,5
2842,8
2843,8
2844,9
2845,6
2846,8
2847,11
2848,9
2849,9
2850,12
2851,10
2852,6
2853,7
2854,6
2855,5
2856,7
2857,5
2858,7
2859,8
2860,4
2861,6
2862,12
2863,5
2864,9
2865,4
2866,7
2867,11
2868,6
2869,1
2870,5
2871,8
2872,7
