original,rolling_average,gaussian,savitzky_golay,convolution,median
44.26475877,44.268460013636364,44.265198288363834,44.265828863053734,44.268460013636364,44.26475877
44.2580039,44.25878758090909,44.258722168706605,44.26013262986026,44.25878758090909,44.2580039
44.25289933,44.24840783545454,44.253188156773426,44.25430595305373,44.24840783545455,44.25289933
44.2492412,44.23707448363636,44.24714179177633,44.247024565338116,44.23707448363636,44.2492412
44.24054377,44.22463258545454,44.23801618201793,44.237228772051395,44.22463258545455,44.24054377
44.22627561,44.21055400545455,44.22464677046781,44.22467242212133,44.210554005454554,44.22627561
44.20935105,44.19446931818182,44.20748741961186,44.208973017249534,44.19446931818182,44.20935105
44.1879368,44.176409174545455,44.187406675861425,44.1895705046155,44.176409174545455,44.1879368
44.16599929,44.15630853818182,44.1655429417283,44.16684938282063,44.15630853818181,44.16599929
44.1436949,44.13397016272727,44.142012222233404,44.14214469372972,44.13397016272727,44.1436949
44.11738944,44.10987723818182,44.116022190366195,44.11599837233112,44.109877238181824,44.11738944
44.08782721,44.08423341181818,44.08805000883716,44.08898143897448,44.08423341181818,44.08782721
44.05934232,44.05695253181818,44.05968979603843,44.06156252261084,44.056952531818176,44.05934232
44.03179233,44.028348315454544,44.031594256312694,44.03322323806539,44.028348315454544,44.03179233
44.00351907,43.99829585727273,44.003350384858265,44.00398913559452,43.99829585727272,44.00351907
43.9755216,43.967071829090905,43.97409098541417,43.973596153566554,43.967071829090905,43.9755216
43.94419352,43.93534590090909,43.94259862030454,43.9415480499768,43.9353459009091,43.94419352
43.90926137,43.90346485909091,43.908532861788004,43.90778923566445,43.90346485909092,43.90926137
43.87329042,43.871504061818186,43.87270233424908,43.87276408687657,43.87150406181818,43.87329042
43.83542225,43.83936186181818,43.83648631424665,43.83746507347331,43.83936186181818,43.83542225
43.80023059,43.807068946363636,43.801659339534254,43.80269280720292,43.80706894636364,43.80023059
43.76840423,43.774769589090916,43.7689520901996,43.76916760354324,43.77476958909091,43.76840423
43.73713575,43.74289877181818,43.73786757544438,43.73715490293718,43.74289877181818,43.73713575
43.70777355,43.711525924545455,43.70781513655788,43.70687207058287,43.711525924545455,43.70777355
43.67822813,43.68048243909091,43.678209561948485,43.678131188974476,43.68048243909091,43.67822813
43.648297,43.64984313090909,43.64902790553555,43.64982099652692,43.64984313090909,43.648297
43.62022867,43.619169976363644,43.620680252309334,43.62140540433579,43.619169976363644,43.62022867
43.59361453,43.58824519272727,43.59249355156117,43.59231056813532,43.58824519272727,43.59361453
43.56416005,43.557126192727274,43.56285693373556,43.56196897967378,43.55712619272727,43.56416005
43.53181208,43.525527271818184,43.5310943008054,43.530576538018764,43.525527271818184,43.53181208
43.49838986,43.49341631727273,43.49759552377592,43.498036102587534,43.493416317272725,43.49838986
43.46282589,43.461293295454546,43.46310707265388,43.46377244662016,43.461293295454546,43.46282589
43.42823161,43.429481938181816,43.42863539136661,43.42827056685326,43.42948193818182,43.42823161
43.39482675,43.398148355454545,43.39444731041155,43.39296284310035,43.398148355454545,43.39482675
43.36018542,43.367992223636364,43.360267250554095,43.35872317223788,43.36799222363636,43.36018542
43.32500763,43.33937159818182,43.32718766375852,43.32669049969708,43.33937159818181,43.32500763
43.29494376,43.312471753636366,43.297468309658285,43.29776580678333,43.312471753636366,43.29494376
43.27030374,43.28787807545455,43.27217684983589,43.27188849270408,43.28787807545455,43.27030374
43.24894512,43.26582939,43.25101676925836,43.24940181214464,43.26582939,43.24894512
43.2324426,43.24625807636364,43.23322787559821,43.23089294734278,43.24625807636364,43.2324426
43.2169852,43.22933597363636,43.217714076535984,43.21599142212133,43.22933597363636,43.2169852
43.20249157,43.21527372272727,43.20435124153637,43.20362669685326,43.21527372272727,43.20249157
