index,value
1335,7
1336,7
1337,7
1338,7
1339,6
1340,6
1341,6
1342,6
1343,6
1344,6
1345,6
1346,6
1347,6
1348,6
1349,6
1350,7
1351,7
1352,7
1353,8
1354,8
1355,7
1356,7
1357,6
1358,6
1359,7
1360,6
1361,6
1362,6
1363,5
1364,5
1365,5
1366,5
1367,5
1368,5
1369,6
1370,5
1371,6
1372,6
1373,6
1374,6
1375,6
1376,7
1377,6
1378,6
1379,6
1380,6
1381,6
1382,6
1383,5
1384,5
1385,5
1386,5
1387,5
1388,5
1389,5
1390,6
1391,5
1392,5
1393,5
1394,5
1395,5
1396,9
1397,9
1398,9
1399,9
1400,7
1401,6
1402,6
1403,7
1404,6
1405,7
1406,7
1407,7
1408,7
1409,6
1410,7
1411,7
1412,7
1413,7
1414,7
1415,7
1416,7
1417,7
1418,6
1419,7
1420,8
1421,8
1422,9
1423,9
1424,9
1425,8
1426,8
1427,8
1428,8
1429,8
1430,8
1431,8
1432,7
1433,7
1434,8
1435,8
1436,7
1437,5
1438,7
1439,8
1440,8
1441,10
1442,10
1443,10
1444,10
1445,9
1446,8
1447,8
1448,8
1449,8
1450,8
1451,8
1452,8
1453,8
1454,8
1455,7
1456,7
1457,7
1458,7
1459,7
1460,7
1461,7
1462,7
1463,7
1464,7
1465,6
1466,6
1467,7
1468,7
1469,7
1470,7
1471,7
1472,7
1473,9
1474,9
1475,9
1476,10
1477,9
1478,9
1479,9
1480,9
1481,9
1482,9
1483,7
1484,7
1485,7
1486,7
1487,7
1488,7
1489,7
1490,7
1491,7
1492,7
1493,7
1494,7
1495,7
1496,7
1497,7
1498,7
1499,7
1500,7
1501,9
1502,9
1503,7
1504,7
1505,9
1506,9
1507,10
1508,10
1509,10
1510,10
1511,6
1512,6
1513,6
1514,7
1515,7
1516,7
1517,6
1518,6
1519,6
1520,7
1521,7
1522,7
1523,8
1524,8
1525,8
1526,9
1527,9
1528,10
1529,10
1530,10
1531,9
1532,9
1533,9
1534,9
1535,9
1536,8
1537,8
1538,8
1539,7
1540,7
1541,7
1542,8
1543,8
1544,6
1545,6
1546,5
1547,7
1548,7
1549,7
1550,7
1551,7
1552,7
1553,7
1554,7
1555,7
1556,7
1557,7
1558,9
1559,9
1560,9
1561,8
1562,8
1563,7
1564,7
1565,8
1566,8
1567,8
1568,8
1569,7
1570,7
1571,7
1572,7
1573,7
1574,8
1575,8
1576,8
1577,8
1578,8
1579,8
1580,8
1581,8
1582,9
1583,9
1584,9
1585,9
1586,7
1587,7
1588,7
1589,7
1590,7
1591,7
1592,7
1593,7
1594,7
1595,7
1596,8
1597,8
1598,9
1599,9
1600,9
1601,8
1602,8
1603,8
1604,8
1605,8
1606,8
1607,7
1608,7
1609,7
1610,7
1611,7
1612,7
1613,7
1614,10
1615,10
1616,10
1617,10
1618,10
1619,10
1620,10
1621,10
1622,8
1623,8
1624,8
1625,8
1626,8
1627,7
1628,7
1629,7
1630,7
1631,7
1632,7
1633,9
1634,9
1635,10
1636,10
1637,10
1638,10
1639,10
1640,10
1641,9
1642,9
1643,9
1644,8
1645,7
1646,7
1647,7
1648,7
1649,7
1650,7
1651,8
1652,8
1653,8
1654,8
1655,8
1656,8
1657,8
1658,8
1659,8
1660,8
1661,8
1662,8
1663,8
1664,8
1665,7
1666,7
1667,6
1668,6
1669,6
1670,6
1671,7
1672,7
1673,7
1674,8
1675,8
1676,9
1677,9
1678,9
1679,9
1680,9
1681,10
1682,9
1683,9
1684,10
1685,9
1686,8
1687,8
1688,8
1689,8
1690,8
1691,6
1692,6
1693,6
1694,5
1695,5
1696,5
1697,5
1698,5
1699,6
1700,7
1701,7
1702,7
1703,7
1704,7
1705,7
1706,7
1707,5
1708,5
1709,5
1710,4
1711,4
1712,4
1713,4
1714,4
1715,4
1716,4
1717,4
1718,5
1719,5
1720,5
1721,5
1722,5
1723,5
1724,5
1725,5
1726,5
1727,5
1728,5
1729,5
1730,5
1731,6
1732,6
1733,6
1734,6
1735,6
1736,7
1737,7
1738,6
1739,6
1740,6
1741,6
1742,5
1743,5
1744,4
1745,4
1746,4
1747,4
1748,4
1749,5
1750,6
1751,7
1752,8
1753,8
1754,8
1755,8
1756,9
1757,9
1758,9
1759,8
1760,7
1761,8
1762,8
1763,7
1764,8
1765,8
1766,8
1767,8
1768,8
1769,8
1770,9
1771,9
1772,8
1773,8
1774,8
1775,7
1776,7
1777,7
1778,7
1779,8
1780,7
1781,6
1782,7
1783,7
1784,7
1785,6
1786,6
1787,6
1788,7
1789,6
1790,6
1791,7
1792,7
1793,7
1794,7
1795,7
1796,7
1797,7
1798,7
1799,7
1800,7
1801,7
1802,6
1803,6
1804,6
1805,6
1806,6
1807,6
1808,6
1809,6
1810,7
1811,7
1812,7
1813,9
1814,9
1815,9
1816,9
1817,9
1818,9
1819,9
1820,9
1821,9
1822,9
1823,9
1824,9
1825,9
1826,9
1827,9
1828,9
1829,8
1830,8
1831,8
1832,8
1833,8
1834,8
1835,8
1836,9
1837,9
1838,9
1839,7
1840,9
1841,7
1842,7
1843,7
1844,7
1845,7
1846,7
1847,7
1848,8
1849,9
1850,9
1851,8
1852,8
1853,8
1854,8
1855,8
1856,7
1857,7
1858,6
1859,6
1860,6
1861,6
1862,6
1863,7
1864,6
1865,7
1866,7
1867,6
1868,7
1869,8
1870,9
1871,9
1872,9
1873,9
1874,9
1875,9
1876,9
1877,9
1878,9
1879,8
1880,7
1881,7
1882,6
1883,7
1884,6
1885,6
1886,6
1887,6
1888,6
1889,5
1890,6
1891,7
1892,7
1893,8
1894,7
1895,8
1896,9
1897,9
1898,9
1899,8
1900,8
1901,7
1902,7
1903,7
1904,7
1905,9
1906,7
1907,6
1908,6
1909,6
1910,6
1911,6
1912,6
1913,6
1914,6
1915,6
1916,6
1917,6
1918,6
1919,8
1920,7
1921,8
1922,8
1923,8
1924,8
1925,8
1926,8
1927,8
1928,8
1929,8
1930,8
1931,8
1932,8
1933,8
1934,8
1935,8
1936,8
1937,8
1938,8
1939,8
1940,8
1941,8
1942,8
1943,8
1944,8
1945,8
1946,8
1947,8
1948,10
1949,10
1950,8
1951,10
1952,10
1953,10
1954,9
1955,9
1956,7
1957,9
1958,8
1959,8
1960,7
1961,8
1962,8
1963,8
1964,8
1965,8
1966,8
1967,8
1968,8
1969,8
1970,8
1971,8
1972,7
1973,6
1974,6
1975,5
1976,5
1977,5
1978,5
1979,5
1980,5
1981,5
1982,5
1983,8
1984,8
1985,7
1986,8
1987,8
1988,8
1989,8
1990,8
1991,8
1992,8
1993,8
1994,8
1995,8
1996,8
1997,8
1998,8
1999,8
2000,8
2001,8
2002,8
2003,8
2004,8
2005,8
2006,6
2007,8
2008,6
2009,8
2010,6
2011,6
2012,8
2013,8
2014,7
2015,8
2016,8
2017,8
2018,8
2019,9
2020,8
2021,11
2022,11
2023,11
2024,11
2025,11
2026,11
2027,11
2028,10
2029,10
2030,10
2031,10
2032,10
2033,10
2034,10
2035,8
2036,8
2037,8
2038,8
2039,8
2040,8
2041,8
2042,8
2043,8
2044,8
2045,8
2046,7
2047,7
2048,7
2049,7
2050,7
2051,7
2052,7
2053,7
2054,7
2055,7
2056,7
2057,7
2058,7
2059,7
2060,7
2061,7
2062,7
2063,7
2064,7
2065,7
2066,7
2067,7
2068,7
2069,7
2070,10
2071,10
2072,10
2073,10
2074,10
2075,10
2076,10
2077,10
2078,10
2079,9
2080,8
2081,8
2082,9
2083,8
2084,8
2085,8
2086,8
2087,8
2088,8
2089,8
2090,10
2091,10
2092,9
2093,9
2094,11
2095,11
2096,11
2097,11
2098,11
2099,11
2100,11
2101,11
2102,11
2103,11
2104,10
2105,7
2106,7
2107,7
2108,6
2109,6
2110,6
2111,7
2112,7
2113,7
2114,7
2115,7
2116,8
2117,8
2118,8
2119,8
2120,8
2121,8
2122,7
2123,8
2124,8
2125,8
2126,7
2127,6
2128,6
2129,6
2130,6
2131,6
2132,6
2133,6
2134,6
2135,6
2136,6
2137,6
2138,6
2139,6
2140,6
2141,6
2142,7
2143,7
2144,7
2145,8
2146,8
2147,8
2148,8
2149,8
2150,8
2151,8
2152,8
2153,8
2154,9
2155,9
2156,9
2157,10
2158,10
2159,10
2160,10
2161,10
2162,9
2163,9
2164,9
2165,9
2166,8
2167,7
2168,7
2169,7
2170,7
2171,6
2172,6
2173,7
2174,6
2175,5
2176,5
2177,5
2178,5
2179,6
2180,7
2181,6
2182,8
2183,8
2184,8
2185,8
2186,8
2187,8
2188,8
2189,8
2190,8
2191,9
2192,9
2193,8
2194,8
2195,8
2196,8
2197,9
2198,9
2199,10
2200,10
2201,9
2202,8
2203,8
2204,9
2205,9
2206,9
2207,8
2208,7
2209,7
2210,6
2211,6
2212,6
2213,6
2214,6
2215,6
2216,6
2217,7
2218,7
2219,7
2220,7
2221,7
2222,7
2223,7
2224,6
2225,6
2226,6
2227,6
2228,6
2229,6
2230,6
2231,8
2232,8
2233,6
2234,6
2235,8
2236,6
2237,7
2238,6
2239,6
2240,6
2241,6
2242,6
2243,6
2244,7
2245,7
2246,7
2247,7
2248,8
2249,8
2250,8
2251,8
2252,8
2253,8
2254,8
2255,8
2256,9
2257,8
2258,8
2259,7
2260,6
2261,6
2262,6
2263,6
2264,6
2265,6
2266,6
2267,6
2268,6
2269,6
2270,6
2271,6
2272,6
2273,6
2274,6
2275,5
2276,6
2277,6
2278,5
2279,5
2280,5
2281,5
2282,5
2283,5
2284,5
2285,5
2286,5
2287,4
2288,5
2289,6
2290,6
2291,6
2292,6
2293,6
2294,6
2295,7
2296,7
2297,7
2298,7
2299,7
2300,7
2301,7
2302,7
2303,7
2304,7
2305,7
2306,6
2307,7
2308,6
2309,6
2310,6
2311,6
2312,5
2313,5
2314,5
2315,4
2316,4
2317,4
2318,4
2319,4
2320,4
2321,4
2322,5
2323,6
2324,6
2325,6
2326,6
2327,6
2328,7
2329,7
2330,7
2331,7
2332,7
2333,7
2334,7
2335,7
2336,7
2337,7
2338,7
2339,7
2340,7
2341,6
2342,7
2343,7
2344,10
2345,7
2346,7
2347,7
2348,10
2349,10
2350,7
2351,7
2352,7
2353,7
2354,6
2355,5
2356,6
2357,5
2358,6
2359,6
2360,6
2361,7
2362,5
2363,5
2364,7
2365,7
2366,7
2367,7
2368,7
2369,7
2370,7
2371,6
2372,6
2373,6
2374,6
2375,6
2376,6
2377,7
2378,7
2379,7
2380,7
2381,7
2382,7
2383,7
2384,7
2385,7
2386,8
2387,8
2388,7
2389,7
2390,7
2391,7
2392,7
2393,8
2394,8
2395,6
2396,8
2397,7
2398,7
2399,8
2400,7
2401,7
2402,7
2403,7
2404,7
2405,7
2406,7
2407,7
2408,6
2409,6
2410,6
2411,6
2412,6
2413,6
2414,6
2415,6
2416,6
2417,6
2418,6
2419,7
2420,8
2421,8
2422,7
2423,7
2424,8
2425,8
2426,8
2427,8
2428,8
2429,7
2430,7
2431,7
2432,7
2433,7
2434,7
2435,7
2436,7
2437,7
2438,7
2439,6
2440,7
2441,7
2442,7
2443,6
2444,5
2445,5
2446,4
2447,4
2448,5
2449,6
2450,6
2451,6
2452,6
2453,5
2454,6
2455,6
2456,6
2457,7
2458,7
2459,6
2460,6
2461,7
2462,7
2463,7
2464,7
2465,7
2466,7
2467,7
2468,9
2469,9
2470,9
2471,8
2472,9
2473,9
2474,9
2475,9
2476,9
2477,9
2478,9
2479,10
2480,10
2481,10
2482,10
2483,10
2484,10
2485,10
2486,10
2487,10
2488,9
2489,9
2490,9
2491,9
2492,9
2493,9
2494,8
2495,8
2496,8
2497,8
2498,8
2499,8
2500,8
2501,8
2502,8
2503,8
2504,8
2505,8
2506,8
2507,8
2508,8
2509,7
2510,8
2511,8
2512,9
2513,9
2514,9
2515,8
2516,9
2517,9
2518,9
2519,9
2520,9
2521,9
2522,8
2523,8
2524,8
2525,8
2526,8
2527,8
2528,8
2529,6
2530,6
2531,8
2532,6
2533,5
2534,6
2535,6
2536,6
2537,6
2538,6
2539,7
2540,7
2541,5
2542,5
2543,7
2544,8
2545,7
2546,7
2547,7
2548,8
2549,7
2550,6
2551,7
2552,7
2553,6
2554,6
2555,6
2556,6
2557,6
2558,8
2559,6
2560,7
2561,7
2562,7
2563,7
2564,7
2565,6
2566,6
2567,6
2568,6
2569,6
2570,6
2571,4
2572,4
2573,6
2574,6
2575,7
2576,7
2577,7
2578,7
2579,7
2580,7
2581,7
2582,7
2583,7
2584,7
2585,7
2586,7
2587,6
2588,6
2589,8
2590,6
2591,6
2592,8
2593,7
2594,8
2595,7
2596,7
2597,7
2598,7
2599,7
2600,7
2601,7
2602,7
2603,7
2604,7
2605,7
2606,7
2607,7
2608,7
2609,8
2610,8
2611,8
2612,8
2613,8
2614,8
2615,8
2616,7
2617,7
2618,6
2619,6
2620,6
2621,6
2622,6
2623,6
2624,6
2625,5
2626,5
2627,5
2628,6
2629,5
2630,5
2631,5
2632,5
2633,5
2634,5
2635,5
2636,7
2637,7
2638,7
2639,7
2640,7
2641,7
2642,7
2643,7
2644,7
2645,7
2646,6
2647,6
2648,6
2649,6
2650,9
2651,8
2652,8
2653,9
2654,8
2655,9
2656,8
2657,9
2658,9
2659,9
2660,8
2661,8
2662,8
2663,8
2664,8
2665,8
2666,8
2667,8
2668,8
2669,8
2670,8
2671,8
2672,8
2673,8
2674,8
2675,8
2676,8
2677,8
2678,7
2679,8
2680,8
2681,8
2682,8
2683,7
2684,7
2685,8
2686,7
2687,7
2688,8
2689,8
2690,8
2691,7
2692,7
2693,7
2694,7
2695,7
2696,7
2697,7
2698,7
2699,7
2700,6
2701,6
2702,6
2703,6
2704,6
2705,6
2706,6
2707,7
2708,7
2709,7
2710,7
2711,9
2712,9
2713,9
2714,9
2715,9
2716,9
2717,9
2718,9
2719,10
2720,10
2721,10
2722,9
2723,9
2724,9
2725,8
2726,8
2727,7
2728,7
2729,7
2730,7
2731,7
2732,8
2733,8
2734,10
2735,10
2736,10
2737,10
2738,10
2739,9
2740,9
2741,9
2742,9
2743,9
2744,8
2745,8
2746,8
2747,8
2748,8
2749,8
2750,8
2751,8
2752,7
2753,7
2754,7
2755,8
2756,7
2757,7
2758,8
2759,8
2760,8
2761,8
2762,8
2763,8
2764,9
2765,8
2766,8
2767,8
2768,8
2769,7
2770,8
2771,8
2772,8
2773,8
2774,8
2775,8
2776,7
2777,7
2778,9
2779,9
2780,10
2781,9
2782,9
2783,9
2784,9
2785,7
2786,7
2787,7
2788,7
2789,7
2790,6
2791,6
2792,6
2793,6
2794,6
2795,6
2796,7
2797,7
2798,7
2799,8
2800,8
2801,8
2802,8
2803,8
2804,8
2805,8
2806,7
2807,7
2808,6
2809,6
2810,5
2811,5
2812,5
2813,5
2814,5
2815,5
2816,6
2817,6
2818,7
2819,7
2820,8
2821,8
2822,8
2823,8
2824,8
2825,9
2826,8
2827,8
2828,8
2829,9
2830,11
2831,9
2832,8
2833,8
2834,9
2835,9
2836,7
2837,8
2838,8
2839,8
2840,8
2841,8
2842,8
2843,8
2844,9
2845,9
2846,9
2847,9
2848,9
2849,9
2850,8
2851,8
2852,7
2853,7
2854,7
2855,7
2856,6
2857,6
2858,6
2859,6
2860,6
2861,7
2862,7
2863,7
2864,6
2865,6
2866,6
2867,7
2868,7
2869,7
2870,6
2871,6
2872,5
2873,5
2874,5
2875,5
2876,7
2877,7
2878,5
2879,5
2880,5
2881,5
2882,4
2883,5
2884,5
2885,7
2886,7
2887,7
2888,8
2889,8
2890,9
2891,9
2892,9
2893,9
2894,9
2895,9
2896,9
2897,8
2898,8
2899,8
2900,8
2901,8
2902,8
2903,8
2904,8
2905,8
2906,8
2907,7
2908,7
2909,8
2910,8
2911,8
2912,9
2913,8
2914,8
2915,8
2916,8
2917,9
2918,9
2919,9
2920,9
2921,9
2922,9
2923,9
2924,9
2925,9
2926,9
2927,9
2928,9
2929,9
2930,9
2931,9
2932,9
2933,9
2934,8
2935,9
2936,8
2937,8
2938,8
2939,8
2940,8
2941,8
2942,8
2943,8
2944,8
2945,8
2946,8
2947,8
2948,9
2949,10
2950,10
2951,9
2952,9
2953,9
2954,9
2955,9
2956,9
2957,9
2958,9
2959,9
2960,9
2961,9
2962,9
2963,9
2964,9
2965,8
2966,8
2967,9
2968,8
2969,8
2970,8
2971,8
2972,8
2973,8
2974,7
2975,7
2976,8
2977,7
2978,6
2979,6
2980,6
2981,7
2982,6
2983,7
2984,7
2985,8
2986,7
2987,7
2988,7
2989,7
2990,7
2991,7
2992,7
2993,8
2994,7
2995,7
2996,7
